year,input_flavor,target,region,sim_id,sim_describe,dropped_simulation_sample_id,dropped_spell_sample_id,country_count,num_countries_meeting_target,pop_total,pop_with_data,pop_sim,wgt_adjpro,wgt_growth_rate,specification,growth_type,preference
2024,preference: 1005 | rate_flavor: growei | benchmark: _r70,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,2,154176900,123576000,142048000,93.72050476074219,1.7226381301879883,pref1005_p99,r70,1005
2024,preference: 1005 | rate_flavor: growei | benchmark: _r80,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,3,154176900,123576000,142048000,96.034637451171875,2.0083067417144775,pref1005_p99,r80,1005
2024,preference: 1005 | rate_flavor: growei | benchmark: _r90,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,3,154176900,123576000,142048000,97.37415313720703,2.398616075515747,pref1005_p99,r90,1005
2024,preference: 1005 | rate_flavor: growei | benchmark: _r95,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,4,154176900,123576000,142048000,97.23149871826172,2.5801470279693604,pref1005_p99,r95,1005
2024,preference: 1005 | rate_flavor: growei | benchmark: _r99,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,4,154176900,123576000,142048000,98.2542953491211,3.1202850341796875,pref1005_p99,r99,1005
2025,preference: 1005 | rate_flavor: growei | benchmark: _r50,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,1,154377900,123869000,142317300,86.368560791015625,0.7819802165031433,pref1005_p99,r50,1005
2025,preference: 1005 | rate_flavor: growei | benchmark: _r60,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,2,154377900,123869000,142317300,89.29685974121094,1.0937520265579224,pref1005_p99,r60,1005
2025,preference: 1005 | rate_flavor: growei | benchmark: _r70,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,2,154377900,123869000,142317300,95.322509765625,1.723629355430603,pref1005_p99,r70,1005
2025,preference: 1005 | rate_flavor: growei | benchmark: _r80,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,3,154377900,123869000,142317300,97.78339385986328,2.00901460647583,pref1005_p99,r80,1005
2025,preference: 1005 | rate_flavor: growei | benchmark: _r90,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,4,154377900,123869000,142317300,98.00169372558594,2.3989369869232178,pref1005_p99,r90,1005
2025,preference: 1005 | rate_flavor: growei | benchmark: _r95,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,4,154377900,123869000,142317300,97.76848602294922,2.5801470279693604,pref1005_p99,r95,1005
2025,preference: 1005 | rate_flavor: growei | benchmark: _r99,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,4,154377900,123869000,142317300,98.901092529296875,3.1202850341796875,pref1005_p99,r99,1005
2026,preference: 1005 | rate_flavor: growei | benchmark: _r50,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,1,154150700,123833000,142169200,87.1080551147461,0.7819802165031433,pref1005_p99,r50,1005
2026,preference: 1005 | rate_flavor: growei | benchmark: _r60,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,2,154150700,123833000,142169200,90.326812744140625,1.0937520265579224,pref1005_p99,r60,1005
2026,preference: 1005 | rate_flavor: growei | benchmark: _r70,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,3,154150700,123833000,142169200,96.92671966552734,1.7237801551818848,pref1005_p99,r70,1005
2026,preference: 1005 | rate_flavor: growei | benchmark: _r80,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,3,154150700,123833000,142169200,98.3966064453125,2.009122371673584,pref1005_p99,r80,1005
2026,preference: 1005 | rate_flavor: growei | benchmark: _r90,1,EAS,pref1,filename(pref1005_p99) + ifspell(if delta_adj_pct > -2 & delta_adj_pct < 4 & year_assessment>2000 & lendingtype!=,Full Sample Used,Full Sample Used,6,4,154150700,123833000,142169200,98.57213592529297,2.3989856243133545,pref1005_p99,r90,1005
