countrycode,countryname,region,region_iso2,regionname,adminregion,adminregion_iso2,adminregionname,incomelevel,incomelevel_iso2,incomelevelname,lendingtype,lendingtype_iso2,lendingtypename,cmu
IRN,"Iran, Islamic Rep.",MEA,ZQ,Middle East and North Africa,MNA,XQ,Middle East and North Africa (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,MNC02
IRQ,Iraq,MEA,ZQ,Middle East and North Africa,MNA,XQ,Middle East and North Africa (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,MNC02
ISL,Iceland,ECS,Z7,Europe and Central Asia,,,,HIC,XD,High income,LNX,XX,Not classified,
ISR,Israel,MEA,ZQ,Middle East and North Africa,,,,HIC,XD,High income,LNX,XX,Not classified,
ITA,Italy,ECS,Z7,Europe and Central Asia,,,,HIC,XD,High income,LNX,XX,Not classified,
JAM,Jamaica,LCN,ZJ,Latin America and Caribbean,LAC,XJ,Latin America and Caribbean (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,LCC3C
JOR,Jordan,MEA,ZQ,Middle East and North Africa,MNA,XQ,Middle East and North Africa (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,MNC02
JPN,Japan,EAS,Z4,East Asia and Pacific,,,,HIC,XD,High income,LNX,XX,Not classified,
KAZ,Kazakhstan,ECS,Z7,Europe and Central Asia,ECA,7E,Europe and Central Asia (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,ECCCA
KEN,Kenya,SSF,ZG,Sub-Saharan Africa,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IDB,XH,Blend,AFCE2
KGZ,Kyrgyz Republic,ECS,Z7,Europe and Central Asia,ECA,7E,Europe and Central Asia (excluding high income),LMC,XN,Lower middle income,IDX,XI,IDA,ECCCA
KHM,Cambodia,EAS,Z4,East Asia and Pacific,EAP,4E,East Asia and Pacific (excluding high income),LMC,XN,Lower middle income,IDX,XI,IDA,EACMM
KIR,Kiribati,EAS,Z4,East Asia and Pacific,EAP,4E,East Asia and Pacific (excluding high income),LMC,XN,Lower middle income,IDX,XI,IDA,EACNF 
KNA,St. Kitts and Nevis,LCN,ZJ,Latin America and Caribbean,,,,HIC,XD,High income,IBD,XF,IBRD,LCC3C
KOR,"Korea, Rep.",EAS,Z4,East Asia and Pacific,,,,HIC,XD,High income,LNX,XX,Not classified,EACCF
KWT,Kuwait,MEA,ZQ,Middle East and North Africa,,,,HIC,XD,High income,LNX,XX,Not classified,MNC05
LAO,Lao PDR,EAS,Z4,East Asia and Pacific,EAP,4E,East Asia and Pacific (excluding high income),LMC,XN,Lower middle income,IDX,XI,IDA,EACLF
LBN,Lebanon,MEA,ZQ,Middle East and North Africa,MNA,XQ,Middle East and North Africa (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,MNC02
LBR,Liberia,SSF,ZG,Sub-Saharan Africa,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,AFCW1
LBY,Libya,MEA,ZQ,Middle East and North Africa,MNA,XQ,Middle East and North Africa (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,MNC01
LCA,St. Lucia,LCN,ZJ,Latin America and Caribbean,LAC,XJ,Latin America and Caribbean (excluding high income),UMC,XT,Upper middle income,IDB,XH,Blend,LCC3C
LIE,Liechtenstein,ECS,Z7,Europe and Central Asia,,,,HIC,XD,High income,LNX,XX,Not classified,
LKA,Sri Lanka,SAS,8S,South Asia,SAS,8S,South Asia (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,SACSN
LSO,Lesotho,SSF,ZG,Sub-Saharan Africa,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IDX,XI,IDA,AFCS1
LTU,Lithuania,ECS,Z7,Europe and Central Asia,,,,HIC,XD,High income,LNX,XX,Not classified,ECCEU
LUX,Luxembourg,ECS,Z7,Europe and Central Asia,,,,HIC,XD,High income,LNX,XX,Not classified,
LVA,Latvia,ECS,Z7,Europe and Central Asia,,,,HIC,XD,High income,LNX,XX,Not classified,ECCEU
MAC,"Macao SAR, China",EAS,Z4,East Asia and Pacific,,,,HIC,XD,High income,LNX,XX,Not classified,
MAF,St. Martin (French part),LCN,ZJ,Latin America and Caribbean,,,,HIC,XD,High income,LNX,XX,Not classified,
MAR,Morocco,MEA,ZQ,Middle East and North Africa,MNA,XQ,Middle East and North Africa (excluding high income),LMC,XN,Lower middle income,IBD,XF,IBRD,MNC01
MCO,Monaco,ECS,Z7,Europe and Central Asia,,,,HIC,XD,High income,LNX,XX,Not classified,
