COUNTRY,SERIES,TIME,Data,SCALE
ARM,SE.LPV.PRIM.LDGAP.MA,YR2011,.1731935292482376,0
ARM,SE.LPV.PRIM.LDSEV,YR2011,.0436345040798187,0
ARM,SE.LPV.PRIM.LDSEV.FE,YR2011,.0400601401925087,0
ARM,SE.LPV.PRIM.LDSEV.MA,YR2011,.0467018745839596,0
ARM,SE.LPV.PRIM.LPGAP,YR2011,9.323823273181915,0
ARM,SE.LPV.PRIM.LPGAP.FE,YR2011,9.508810788393021,0
ARM,SE.LPV.PRIM.LPGAP.MA,YR2011,9.161512926220894,0
ARM,SE.LPV.PRIM.LPSEV,YR2011,5.201956473218742,0
ARM,SE.LPV.PRIM.LPSEV.FE,YR2011,4.880128881728742,0
ARM,SE.LPV.PRIM.LPSEV.MA,YR2011,5.478086314215907,0
ARM,SE.LPV.PRIM.MA,YR2011,48.43983459472656,0
ARM,SE.LPV.PRIM.SD,YR2011,9.156997680664063,0
ARM,SE.LPV.PRIM.SD.FE,YR2011,9.349411010742188,0
ARM,SE.LPV.PRIM.SD.MA,YR2011,8.988319396972656,0
ARM,SE.LPV.POP.0516,YR2015,439944.5,0
ARM,SE.LPV.POP.0516.FE,YR2015,208667.5,0
ARM,SE.LPV.POP.0516.MA,YR2015,231277,0
ARM,SE.LPV.POP.10,YR2015,37252.5,0
ARM,SE.LPV.POP.10.FE,YR2015,17611.5,0
ARM,SE.LPV.POP.10.MA,YR2015,19641,0
ARM,SE.LPV.POP.1014,YR2015,171937,0
ARM,SE.LPV.POP.1014.FE,YR2015,81522,0
ARM,SE.LPV.POP.1014.MA,YR2015,90415,0
ARM,SE.LPV.POP.9PLUS,YR2015,75915,0
ARM,SE.LPV.POP.9PLUS.FE,YR2015,35882,0
ARM,SE.LPV.POP.9PLUS.MA,YR2015,40033,0
ARM,SE.LPV.POP.PRIM,YR2015,196742,0
ARM,SE.LPV.POP.PRIM.FE,YR2015,93031,0
ARM,SE.LPV.POP.PRIM.MA,YR2015,103711,0
ARM,SE.LPV.PRIM,YR2015,36.4060173034668,0
ARM,SE.LPV.PRIM.FE,YR2015,33.51745223999023,0
ARM,SE.LPV.PRIM.LD,YR2015,29.9957275390625,0
ARM,SE.LPV.PRIM.LD.FE,YR2015,26.6606559753418,0
ARM,SE.LPV.PRIM.LD.MA,YR2015,33.15567398071289,0
