countrycode,cty_or_agg,year,indicator,value,value_metadata,countryname,regionname
ARE,cty,2021,SE.LPV.PRIM.LPGAP.MA,1.508247464895248,LPGAP = SD: ANER; LD: PIRLS 2021 for grade 4 using MPL Low (400 points) for reading; Male,United Arab Emirates,Middle East and North Africa
ARE,cty,2021,SE.LPV.PRIM.LPSEV,8.132257362923118,LPSEV = SD: ANER; LD: PIRLS 2021 for grade 4 using MPL Low (400 points) for reading; ,United Arab Emirates,Middle East and North Africa
ARE,cty,2021,SE.LPV.PRIM.LPSEV.FE,6.392481973490212,LPSEV = SD: ANER; LD: PIRLS 2021 for grade 4 using MPL Low (400 points) for reading; Female,United Arab Emirates,Middle East and North Africa
ARE,cty,2021,SE.LPV.PRIM.LPSEV.MA,9.378755888065788,LPSEV = SD: ANER; LD: PIRLS 2021 for grade 4 using MPL Low (400 points) for reading; Male,United Arab Emirates,Middle East and North Africa
ARE,cty,2021,SE.LPV.PRIM.MA,30.68661308288574,LP = SD: ANER; LD: PIRLS 2021 for grade 4 using MPL Low (400 points) for reading; Male,United Arab Emirates,Middle East and North Africa
ARE,cty,2021,SE.LPV.PRIM.SD,1.256881713867188,SD = ANER; ,United Arab Emirates,Middle East and North Africa
ARE,cty,2021,SE.LPV.PRIM.SD.FE,1.256881713867188,SD = ANER; Female,United Arab Emirates,Middle East and North Africa
ARE,cty,2021,SE.LPV.PRIM.SD.MA,1.256881713867188,SD = ANER; Male,United Arab Emirates,Middle East and North Africa
ARG,cty,2006,SE.LPV.POP.0516,8557334,Population Age 0516 for Reference Year 2019; ,Argentina,Latin America and Caribbean
ARG,cty,2006,SE.LPV.POP.0516.FE,4160431.5,Population Age 0516 for Reference Year 2019; Female,Argentina,Latin America and Caribbean
ARG,cty,2006,SE.LPV.POP.0516.MA,4396902.5,Population Age 0516 for Reference Year 2019; Male,Argentina,Latin America and Caribbean
ARG,cty,2006,SE.LPV.POP.10,709872.5,Population Age 10 for Reference Year 2019; ,Argentina,Latin America and Caribbean
ARG,cty,2006,SE.LPV.POP.10.FE,344883,Population Age 10 for Reference Year 2019; Female,Argentina,Latin America and Caribbean
ARG,cty,2006,SE.LPV.POP.10.MA,364989.5,Population Age 10 for Reference Year 2019; Male,Argentina,Latin America and Caribbean
ARG,cty,2006,SE.LPV.POP.1014,3537399,Population Age 1014 for Reference Year 2019; ,Argentina,Latin America and Caribbean
